Source,Target,Type
W4415672204,W4306317008,Directed
W7131632279,W4306317008,Directed
W4392427626,W3116510227,Directed
W4399205940,W3116510227,Directed
W4407411575,W3116510227,Directed
W7140122074,W3116510227,Directed
W4403577392,W4387846245,Directed
W4399205800,W4312313312,Directed
W4404172121,W4312313312,Directed
W4287888535,W4312313312,Directed
W4390976274,W4312313312,Directed
W4410486495,W4312313312,Directed
W4387951040,W4312313312,Directed
W4415260459,W4312313312,Directed
W7140586337,W4312313312,Directed
W4401811092,W4312313312,Directed
W4389518215,W4312313312,Directed
W4407953165,W4312313312,Directed
W4412475402,W4312313312,Directed
W7160396331,W4312313312,Directed
W7167579799,W4312313312,Directed
W4401390051,W4306317817,Directed
W4402040779,W4306317817,Directed
W4393247932,W4306317817,Directed
W4414333426,W4306317817,Directed
W4407110755,W4306317817,Directed
W7154473949,W4306317817,Directed
W4414039548,W4411121024,Directed
W7134173419,W4411121024,Directed
W4400028653,W4380302034,Directed
W4387846225,W4380302034,Directed
W4394844641,W4380302034,Directed
W4406127278,W4380302034,Directed
W7125614867,W4380302034,Directed
W4399205709,W4380302034,Directed
W4385872085,W4380302034,Directed
W4411121012,W4380302034,Directed
W4417274098,W4380302034,Directed
W4416224769,W4412876982,Directed
W4415883515,W4412876982,Directed
W7141508265,W4412876982,Directed
W7154466504,W4412876982,Directed
W7159681233,W4412876982,Directed
W7161501466,W4412876982,Directed
W7164140225,W4412876982,Directed
W4405844909,W4387848991,Directed
W4410738219,W4387848991,Directed
W4400720152,W4387848991,Directed
W4404708480,W4387848991,Directed
W4394866274,W4312937919,Directed
W7140582673,W4312937919,Directed
W4280519126,W4312937919,Directed
W4405201271,W4312937919,Directed
W4385572859,W4312937919,Directed
W4385573612,W4312937919,Directed
W4410975232,W4312937919,Directed
W7117732938,W4399205721,Directed
W7130646148,W4403577323,Directed
W7160718231,W4403577323,Directed
W7167578239,W4403577323,Directed
W4413922405,W4387846611,Directed
W7118132038,W4399837592,Directed
W4410638173,W4399837592,Directed
W4416017204,W4399837592,Directed
W4410505351,W4399837592,Directed
W4415160583,W4399837592,Directed
W7134284892,W4399837592,Directed
W7159962622,W4399837592,Directed
W7162778173,W4399837592,Directed
W3085678997,W2537308293,Directed
W2986864699,W2537308293,Directed
W2988120263,W2537308293,Directed
W3166419968,W2537308293,Directed
W2968078309,W2537308293,Directed
W4375928829,W2537308293,Directed
W4400910185,W2537308293,Directed
W3092306034,W2537308293,Directed
W4362581699,W2537308293,Directed
W4400351440,W2537308293,Directed
W4312843444,W2537308293,Directed
W3208550520,W2537308293,Directed
W2790621384,W2537308293,Directed
W4316924441,W2537308293,Directed
W2979491766,W2537308293,Directed
W2777713297,W2537308293,Directed
W2808733110,W2537308293,Directed
W2967655238,W2537308293,Directed
W3200203587,W2537308293,Directed
W4393988936,W2537308293,Directed
W7160613455,W2537308293,Directed
W7152696460,W4412876988,Directed
W4412424199,W4411120977,Directed
W7154597562,W4411120977,Directed
W7165053817,W4411120977,Directed
W3002330681,W2953954626,Directed
W2980412466,W2953954626,Directed
W4320853810,W2953954626,Directed
W4390817402,W2953954626,Directed
W4410538735,W2953954626,Directed
W3003044879,W2953954626,Directed
W3209912973,W2953954626,Directed
W4404172456,W2953954626,Directed
W4289812579,W2953954626,Directed
W4312839192,W2953954626,Directed
W4312717789,W2953954626,Directed
W4392526082,W2953954626,Directed
W4399205739,W2953954626,Directed
W4395443455,W2953954626,Directed
W2972352314,W2953954626,Directed
W3215979431,W2953954626,Directed
W4226509292,W2953954626,Directed
W4312583684,W2953954626,Directed
W4399765380,W3159785742,Directed
W3082034810,W3159785742,Directed
W4386352794,W3159785742,Directed
W4225378553,W2810509939,Directed
W2986878665,W2810509939,Directed
W4286252375,W2810509939,Directed
W3035862209,W2810509939,Directed
W4391235363,W2810509939,Directed
W2971624451,W2810509939,Directed
W3081943439,W2810509939,Directed
W3011131872,W2810509939,Directed
W3037439385,W2810509939,Directed
W2954476116,W2810509939,Directed
W2970875987,W2810509939,Directed
W3157252883,W2810509939,Directed
W4311871581,W2810509939,Directed
W3180265931,W2810509939,Directed
W3034612156,W2810509939,Directed
W4212849856,W2810509939,Directed
W4221134258,W2810509939,Directed
W4312902304,W2810509939,Directed
W4391164165,W2810509939,Directed
W3004223283,W2810509939,Directed
W4210433607,W2810509939,Directed
W3034049032,W2810509939,Directed
W4283734474,W2810509939,Directed
W3015696947,W2810509939,Directed
W4310173829,W2810509939,Directed
W4408399615,W2810509939,Directed
W4385642073,W4306317348,Directed
W4405143953,W4306317348,Directed
W4411033437,W4306317348,Directed
W7162001803,W4416017474,Directed
W4410425711,W4400720152,Directed
W7167336723,W4400720152,Directed
W2806198715,W2612937920,Directed
W2807490770,W2612937920,Directed
W2933029306,W2612937920,Directed
W4220808645,W2612937920,Directed
W4297359186,W2612937920,Directed
W4406300032,W2612937920,Directed
W3104217996,W2612937920,Directed
W2933162517,W2612937920,Directed
W3198065645,W2612937920,Directed
W3052520363,W2612937920,Directed
W4313166540,W2612937920,Directed
W3186642825,W2612937920,Directed
W4220711172,W2612937920,Directed
W3161594303,W2612937920,Directed
W4399075343,W2612937920,Directed
W4287854818,W2612937920,Directed
W4402626551,W2612937920,Directed
W3096902286,W2612937920,Directed
W2907439681,W2612937920,Directed
W2936576629,W2612937920,Directed
W2954412355,W2612937920,Directed
W4226198761,W2612937920,Directed
W3171053085,W2612937920,Directed
W4406755390,W2612937920,Directed
W3089969421,W2612937920,Directed
W3088950928,W2612937920,Directed
W3107826345,W2612937920,Directed
W2888213197,W2612937920,Directed
W4312330483,W2612937920,Directed
W2905279389,W2612937920,Directed
W4392890269,W2612937920,Directed
W2795276822,W2612937920,Directed
W4387241904,W2612937920,Directed
W4309679252,W2612937920,Directed
W2962851639,W2612937920,Directed
W4297904282,W2612937920,Directed
W4287887862,W2612937920,Directed
W2950583636,W2612937920,Directed
W4200390593,W2612937920,Directed
W4409002789,W2612937920,Directed
W4410478499,W2612937920,Directed
W4414300491,W2612937920,Directed
W4415821725,W2612937920,Directed
W4206500717,W2897495521,Directed
W3173436521,W2897495521,Directed
W3172960769,W2897495521,Directed
W4366967264,W2897495521,Directed
W4414537662,W2897495521,Directed
W4367047042,W2897495521,Directed
W3196976513,W2897495521,Directed
W4399290793,W2897495521,Directed
W3135419330,W2897495521,Directed
W3211260283,W2897495521,Directed
W4226255129,W2897495521,Directed
W4281480903,W2897495521,Directed
W4387986432,W2897495521,Directed
W3035309367,W2897495521,Directed
W4320008493,W2897495521,Directed
W4383890628,W2897495521,Directed
W7152557186,W2897495521,Directed
W7165544519,W4416018097,Directed
